2024-04-26 22:44:32 - [1, 100] loss: 0.5384089136868715
2024-04-26 22:44:35 - [1, 200] loss: 0.23261969938874244
2024-04-26 22:44:39 - [1, 300] loss: 0.18906131993979217
2024-04-26 22:44:42 - [1, 400] loss: 0.16816196601837874
2024-04-26 22:44:46 - [1, 500] loss: 0.14085411878302692
2024-04-26 22:44:50 - [1, 600] loss: 0.14445301381871103
2024-04-26 22:44:53 - [1, 700] loss: 0.12621906927786766
2024-04-26 22:44:57 - [1, 800] loss: 0.11420423777308315
2024-04-26 22:45:00 - [1, 900] loss: 0.07873294303659349
2024-04-26 22:45:10 - [2, 100] loss: 0.08035786065272987
2024-04-26 22:45:14 - [2, 200] loss: 0.15988670909777283
2024-04-26 22:45:17 - [2, 300] loss: 0.37621496778912844
2024-04-26 22:45:21 - [2, 400] loss: 0.12895846555009485
2024-04-26 22:45:25 - [2, 500] loss: 0.09763496512547136
2024-04-26 22:45:28 - [2, 600] loss: 0.07530699148774148
2024-04-26 22:45:32 - [2, 700] loss: 0.08704516699770465
2024-04-26 22:45:35 - [2, 800] loss: 0.06699868738185615
2024-04-26 22:45:39 - [2, 900] loss: 0.08625718389637768
2024-04-26 22:45:49 - [3, 100] loss: 0.05864628325332887
2024-04-26 22:45:52 - [3, 200] loss: 0.05703372307471
2024-04-26 22:45:56 - [3, 300] loss: 0.05706692021456547
2024-04-26 22:45:59 - [3, 400] loss: 0.06583877911325545
2024-04-26 22:46:03 - [3, 500] loss: 0.06610690420260652
2024-04-26 22:46:07 - [3, 600] loss: 0.06045379722956568
2024-04-26 22:46:10 - [3, 700] loss: 0.049924676170339806
2024-04-26 22:46:14 - [3, 800] loss: 0.05961022148490883
2024-04-26 22:46:17 - [3, 900] loss: 0.05526438039727509
2024-04-26 22:46:27 - [4, 100] loss: 0.04730055703781545
2024-04-26 22:46:31 - [4, 200] loss: 0.05617685314733535
2024-04-26 22:46:35 - [4, 300] loss: 0.06188005467352923
2024-04-26 22:46:38 - [4, 400] loss: 0.060735294660553336
2024-04-26 22:46:42 - [4, 500] loss: 0.05720958877005614
2024-04-26 22:46:45 - [4, 600] loss: 0.05036077900091186
2024-04-26 22:46:49 - [4, 700] loss: 0.06344707011856371
2024-04-26 22:46:53 - [4, 800] loss: 0.05743757439253386
2024-04-26 22:46:56 - [4, 900] loss: 0.0661701621953398
2024-04-26 22:47:06 - [5, 100] loss: 0.14900118950754404
2024-04-26 22:47:10 - [5, 200] loss: 0.06673392112774308
2024-04-26 22:47:13 - [5, 300] loss: 0.057818597658770156
2024-04-26 22:47:17 - [5, 400] loss: 0.054516426696209236
2024-04-26 22:47:21 - [5, 500] loss: 0.06467663516290485
2024-04-26 22:47:24 - [5, 600] loss: 0.04788773051230237
2024-04-26 22:47:28 - [5, 700] loss: 0.050903968176571654
2024-04-26 22:47:31 - [5, 800] loss: 0.050609288330888375
2024-04-26 22:47:35 - [5, 900] loss: 0.048571335152955725
2024-04-26 22:47:45 - [6, 100] loss: 0.036021668454632165
2024-04-26 22:47:49 - [6, 200] loss: 0.0270390119147487
2024-04-26 22:47:52 - [6, 300] loss: 0.023028815862198827
2024-04-26 22:47:56 - [6, 400] loss: 0.052774325000937095
2024-04-26 22:48:00 - [6, 500] loss: 0.048269334941287524
2024-04-26 22:48:03 - [6, 600] loss: 0.05656656867242418
2024-04-26 22:48:07 - [6, 700] loss: 0.05352025379776024
2024-04-26 22:48:10 - [6, 800] loss: 0.2846952032065019
2024-04-26 22:48:14 - [6, 900] loss: 0.19287315546534956
2024-04-26 22:48:24 - [7, 100] loss: 0.08310098235495389
2024-04-26 22:48:28 - [7, 200] loss: 0.06220815747976303
2024-04-26 22:48:31 - [7, 300] loss: 0.04429618294117972
2024-04-26 22:48:35 - [7, 400] loss: 0.05935828008688986
2024-04-26 22:48:38 - [7, 500] loss: 0.04315047820098698
