2024-04-26 14:04:04 - [1, 100] loss: 2.1706242156028748
2024-04-26 14:04:05 - [1, 200] loss: 1.9715006613731385
2024-04-26 14:04:07 - [1, 300] loss: 1.8298755395412445
2024-04-26 14:04:08 - [1, 400] loss: 1.7415233051776886
2024-04-26 14:04:10 - [1, 500] loss: 1.6897834897041322
2024-04-26 14:04:12 - [1, 600] loss: 1.6162106466293336
2024-04-26 14:04:15 - [1, 700] loss: 1.5974472725391389
2024-04-26 14:04:41 - [2, 100] loss: 1.5135771667957305
2024-04-26 14:04:42 - [2, 200] loss: 1.485411788225174
2024-04-26 14:04:43 - [2, 300] loss: 1.471253719329834
2024-04-26 14:04:45 - [2, 400] loss: 1.453888932466507
2024-04-26 14:04:46 - [2, 500] loss: 1.4151780724525451
2024-04-26 14:04:47 - [2, 600] loss: 1.4065933084487916
2024-04-26 14:04:49 - [2, 700] loss: 1.3721756649017334
2024-04-26 14:05:13 - [3, 100] loss: 1.2867560756206513
2024-04-26 14:05:14 - [3, 200] loss: 1.3195204281806945
2024-04-26 14:05:16 - [3, 300] loss: 1.291059890985489
2024-04-26 14:05:17 - [3, 400] loss: 1.2840324103832246
2024-04-26 14:05:18 - [3, 500] loss: 1.2682697039842605
2024-04-26 14:05:19 - [3, 600] loss: 1.2541458123922349
2024-04-26 14:05:21 - [3, 700] loss: 1.2300148284435273
2024-04-26 14:05:44 - [4, 100] loss: 1.1595121383666993
2024-04-26 14:05:46 - [4, 200] loss: 1.1659566104412078
2024-04-26 14:05:47 - [4, 300] loss: 1.152243287563324
2024-04-26 14:05:48 - [4, 400] loss: 1.1565133208036422
2024-04-26 14:05:49 - [4, 500] loss: 1.1406128627061844
2024-04-26 14:05:51 - [4, 600] loss: 1.149872799515724
2024-04-26 14:05:52 - [4, 700] loss: 1.1020550417900086
2024-04-26 14:06:16 - [5, 100] loss: 1.0418401068449021
2024-04-26 14:06:17 - [5, 200] loss: 1.0423994666337968
2024-04-26 14:06:18 - [5, 300] loss: 1.0523571735620498
2024-04-26 14:06:20 - [5, 400] loss: 1.046891132593155
2024-04-26 14:06:21 - [5, 500] loss: 1.042583577632904
2024-04-26 14:06:22 - [5, 600] loss: 1.0386487102508546
2024-04-26 14:06:23 - [5, 700] loss: 1.031697275042534
2024-04-26 14:06:47 - [6, 100] loss: 0.9343116933107376
2024-04-26 14:06:48 - [6, 200] loss: 0.955850390791893
2024-04-26 14:06:50 - [6, 300] loss: 0.9699440020322799
2024-04-26 14:06:51 - [6, 400] loss: 0.9679905515909195
2024-04-26 14:06:52 - [6, 500] loss: 0.9752918750047683
2024-04-26 14:06:54 - [6, 600] loss: 0.9272530180215836
2024-04-26 14:06:55 - [6, 700] loss: 0.9562732255458832
2024-04-26 14:07:19 - [7, 100] loss: 0.8608200109004974
2024-04-26 14:07:20 - [7, 200] loss: 0.8670322322845458
2024-04-26 14:07:21 - [7, 300] loss: 0.8771433079242706
2024-04-26 14:07:22 - [7, 400] loss: 0.8563443017005921
2024-04-26 14:07:24 - [7, 500] loss: 0.8743408805131913
2024-04-26 14:07:25 - [7, 600] loss: 0.8955644488334655
2024-04-26 14:07:26 - [7, 700] loss: 0.8500303596258163
2024-04-26 14:07:50 - [8, 100] loss: 0.7845298060774804
2024-04-26 14:07:51 - [8, 200] loss: 0.7858928698301315
2024-04-26 14:07:53 - [8, 300] loss: 0.7959543579816818
