2024-04-26 23:18:32 - [1, 100] loss: 1.494777170419693
2024-04-26 23:18:33 - [1, 200] loss: 0.62286935120821
2024-04-26 23:18:35 - [1, 300] loss: 0.3785460440069437
2024-04-26 23:18:36 - [1, 400] loss: 0.28574844673275945
2024-04-26 23:18:37 - [1, 500] loss: 0.23188106033951045
2024-04-26 23:18:39 - [1, 600] loss: 0.225221475251019
2024-04-26 23:18:40 - [1, 700] loss: 0.1976748238876462
2024-04-26 23:18:41 - [1, 800] loss: 0.17425828240811825
2024-04-26 23:18:42 - [1, 900] loss: 0.1654343684017658
2024-04-26 23:18:49 - [2, 100] loss: 0.12681628656573593
2024-04-26 23:18:50 - [2, 200] loss: 0.12989794861525297
2024-04-26 23:18:52 - [2, 300] loss: 0.12092314440757036
2024-04-26 23:18:53 - [2, 400] loss: 0.1456472199037671
2024-04-26 23:18:54 - [2, 500] loss: 0.11696985423564911
2024-04-26 23:18:55 - [2, 600] loss: 0.1092947487719357
2024-04-26 23:18:56 - [2, 700] loss: 0.12043604847043753
2024-04-26 23:18:58 - [2, 800] loss: 0.11361718564294279
2024-04-26 23:18:59 - [2, 900] loss: 0.09899131927639246
2024-04-26 23:19:05 - [3, 100] loss: 0.0995721898181364
2024-04-26 23:19:07 - [3, 200] loss: 0.09804213943891227
2024-04-26 23:19:08 - [3, 300] loss: 0.09232112835627049
2024-04-26 23:19:09 - [3, 400] loss: 0.09442644577939063
2024-04-26 23:19:10 - [3, 500] loss: 0.09633800556883215
2024-04-26 23:19:12 - [3, 600] loss: 0.0994911670917645
2024-04-26 23:19:13 - [3, 700] loss: 0.08692623947747052
2024-04-26 23:19:14 - [3, 800] loss: 0.09169260824099183
2024-04-26 23:19:15 - [3, 900] loss: 0.08723688884172588
2024-04-26 23:19:22 - [4, 100] loss: 0.06831011564470828
2024-04-26 23:19:23 - [4, 200] loss: 0.07500226070638746
2024-04-26 23:19:24 - [4, 300] loss: 0.08383432480040938
2024-04-26 23:19:26 - [4, 400] loss: 0.0715354917338118
2024-04-26 23:19:27 - [4, 500] loss: 0.07622673210455105
2024-04-26 23:19:28 - [4, 600] loss: 0.08865650632884353
2024-04-26 23:19:29 - [4, 700] loss: 0.07079503959743307
2024-04-26 23:19:31 - [4, 800] loss: 0.07607409461867064
2024-04-26 23:19:32 - [4, 900] loss: 0.06926305431174114
2024-04-26 23:19:39 - [5, 100] loss: 0.06448596831643955
2024-04-26 23:19:40 - [5, 200] loss: 0.0532850736042019
2024-04-26 23:19:41 - [5, 300] loss: 0.07307915673591196
2024-04-26 23:19:42 - [5, 400] loss: 0.06973463448463008
2024-04-26 23:19:44 - [5, 500] loss: 0.0688372344058007
2024-04-26 23:19:45 - [5, 600] loss: 0.06756743321660906
2024-04-26 23:19:46 - [5, 700] loss: 0.07792663846164942
2024-04-26 23:19:47 - [5, 800] loss: 0.07116761530749499
2024-04-26 23:19:49 - [5, 900] loss: 0.06603100075386464
2024-04-26 23:19:55 - [6, 100] loss: 0.055177921378053725
2024-04-26 23:19:56 - [6, 200] loss: 0.043531792153371496
2024-04-26 23:19:57 - [6, 300] loss: 0.05634561436134391
2024-04-26 23:19:59 - [6, 400] loss: 0.060397683456540105
2024-04-26 23:20:00 - [6, 500] loss: 0.05989487047307193
2024-04-26 23:20:01 - [6, 600] loss: 0.06268910415237769
2024-04-26 23:20:02 - [6, 700] loss: 0.060379153243266044
2024-04-26 23:20:04 - [6, 800] loss: 0.058333527480717746
2024-04-26 23:20:05 - [6, 900] loss: 0.06478770452318713
2024-04-26 23:20:11 - [7, 100] loss: 0.043720727964537215
2024-04-26 23:20:13 - [7, 200] loss: 0.06318601282779128
2024-04-26 23:20:14 - [7, 300] loss: 0.05084403193206526
2024-04-26 23:20:15 - [7, 400] loss: 0.04218086931155995
2024-04-26 23:20:16 - [7, 500] loss: 0.052568928094115105
2024-04-26 23:20:18 - [7, 600] loss: 0.048840675617102536
2024-04-26 23:20:19 - [7, 700] loss: 0.044590528206899765
2024-04-26 23:20:20 - [7, 800] loss: 0.04810002031561453
2024-04-26 23:20:21 - [7, 900] loss: 0.047124830994289366
2024-04-26 23:20:28 - [8, 100] loss: 0.042194078062893825
2024-04-26 23:20:29 - [8, 200] loss: 0.052011609495384616
2024-04-26 23:20:30 - [8, 300] loss: 0.05165340557461604
2024-04-26 23:20:32 - [8, 400] loss: 0.05110121594974771
2024-04-26 23:20:33 - [8, 500] loss: 0.05653463999507949
2024-04-26 23:20:34 - [8, 600] loss: 0.048301368600223216
2024-04-26 23:20:35 - [8, 700] loss: 0.03782227636198513
2024-04-26 23:20:36 - [8, 800] loss: 0.040180712889996355
2024-04-26 23:20:38 - [8, 900] loss: 0.057521891415817664
2024-04-26 23:20:45 - [9, 100] loss: 0.030742775128455833
2024-04-26 23:20:46 - [9, 200] loss: 0.043374472154537214
2024-04-26 23:20:47 - [9, 300] loss: 0.03751466360059567
2024-04-26 23:20:48 - [9, 400] loss: 0.03568480803980492
2024-04-26 23:20:49 - [9, 500] loss: 0.04297553633979987
2024-04-26 23:20:51 - [9, 600] loss: 0.04165552692604251
2024-04-26 23:20:52 - [9, 700] loss: 0.05364354724995792
2024-04-26 23:20:53 - [9, 800] loss: 0.041011037503485566
2024-04-26 23:20:54 - [9, 900] loss: 0.03451513383770362
2024-04-26 23:21:01 - [10, 100] loss: 0.03454013868409675
2024-04-26 23:21:02 - [10, 200] loss: 0.03685354506655131
2024-04-26 23:21:04 - [10, 300] loss: 0.04367555727949366
2024-04-26 23:21:05 - [10, 400] loss: 0.03356640027603135
2024-04-26 23:21:06 - [10, 500] loss: 0.03604523371148389
2024-04-26 23:21:07 - [10, 600] loss: 0.04691464107250795
2024-04-26 23:21:09 - [10, 700] loss: 0.04096165471477434
2024-04-26 23:21:10 - [10, 800] loss: 0.042045723159099
2024-04-26 23:21:11 - [10, 900] loss: 0.04283926852105651
