2024-04-26 04:45:32 - [1, 100] loss: 2.207790138721466
2024-04-26 04:45:37 - [1, 200] loss: 1.8849648571014403
2024-04-26 04:45:42 - [1, 300] loss: 1.6902334475517273
2024-04-26 04:45:47 - [1, 400] loss: 1.5872407853603363
2024-04-26 04:45:53 - [1, 500] loss: 1.543879064321518
2024-04-26 04:45:58 - [1, 600] loss: 1.4596548187732696
2024-04-26 04:46:03 - [1, 700] loss: 1.3664463865756988
2024-04-26 04:46:39 - [2, 100] loss: 1.2529395377635957
2024-04-26 04:46:44 - [2, 200] loss: 1.2868013441562653
2024-04-26 04:46:49 - [2, 300] loss: 1.2188978236913681
2024-04-26 04:46:54 - [2, 400] loss: 1.2102870416641236
2024-04-26 04:46:59 - [2, 500] loss: 1.236827621459961
2024-04-26 04:47:04 - [2, 600] loss: 1.190581219792366
2024-04-26 04:47:09 - [2, 700] loss: 1.0926059949398041
2024-04-26 04:47:44 - [3, 100] loss: 0.9683214354515076
2024-04-26 04:47:49 - [3, 200] loss: 0.9562338507175445
2024-04-26 04:47:55 - [3, 300] loss: 0.9836353939771653
2024-04-26 04:48:00 - [3, 400] loss: 0.9826264715194702
2024-04-26 04:48:05 - [3, 500] loss: 1.1086969017982482
2024-04-26 04:48:10 - [3, 600] loss: 0.9946343445777893
2024-04-26 04:48:15 - [3, 700] loss: 0.964194901585579
2024-04-26 04:48:46 - [4, 100] loss: 1.0300161069631577
2024-04-26 04:48:51 - [4, 200] loss: 0.8866516935825348
2024-04-26 04:48:56 - [4, 300] loss: 0.8887156271934509
2024-04-26 04:49:01 - [4, 400] loss: 0.8370183777809143
2024-04-26 04:49:06 - [4, 500] loss: 0.883453483581543
2024-04-26 04:49:11 - [4, 600] loss: 0.8813283938169479
2024-04-26 04:49:16 - [4, 700] loss: 0.9036433291435242
2024-04-26 04:49:47 - [5, 100] loss: 0.742436956167221
2024-04-26 04:49:51 - [5, 200] loss: 0.7143217015266419
2024-04-26 04:49:56 - [5, 300] loss: 0.7511026641726494
2024-04-26 04:50:01 - [5, 400] loss: 0.7827651649713516
2024-04-26 04:50:06 - [5, 500] loss: 0.795292426943779
2024-04-26 04:50:11 - [5, 600] loss: 0.7164030167460441
2024-04-26 04:50:16 - [5, 700] loss: 0.7220897275209427
2024-04-26 04:50:47 - [6, 100] loss: 0.60684874355793
2024-04-26 04:50:52 - [6, 200] loss: 0.6133590793609619
2024-04-26 04:50:57 - [6, 300] loss: 0.5894026222825051
2024-04-26 04:51:02 - [6, 400] loss: 0.5907362654805184
2024-04-26 04:51:07 - [6, 500] loss: 0.7218203860521316
2024-04-26 04:51:12 - [6, 600] loss: 0.6945631781220436
2024-04-26 04:51:17 - [6, 700] loss: 0.6837235361337661
2024-04-26 04:51:47 - [7, 100] loss: 0.7742594438791275
2024-04-26 04:51:52 - [7, 200] loss: 0.5808540213108063
2024-04-26 04:51:57 - [7, 300] loss: 0.5543396553397179
2024-04-26 04:52:02 - [7, 400] loss: 0.5479555454850197
2024-04-26 04:52:07 - [7, 500] loss: 0.489280439466238
2024-04-26 04:52:12 - [7, 600] loss: 0.547422187924385
2024-04-26 04:52:17 - [7, 700] loss: 0.5190059125423432
2024-04-26 04:52:48 - [8, 100] loss: 0.3974216347932816
2024-04-26 04:52:53 - [8, 200] loss: 0.5465854719281197
2024-04-26 04:52:58 - [8, 300] loss: 0.7102452403306961
2024-04-26 04:53:03 - [8, 400] loss: 0.741373864710331
2024-04-26 04:53:08 - [8, 500] loss: 0.7438512536883354
2024-04-26 04:53:13 - [8, 600] loss: 0.6306984400749207
2024-04-26 04:53:18 - [8, 700] loss: 0.5617864394187927
2024-04-26 04:53:48 - [9, 100] loss: 0.8642676067352295
2024-04-26 04:53:53 - [9, 200] loss: 0.5962320250272751
2024-04-26 04:53:58 - [9, 300] loss: 0.5095584985613822
2024-04-26 04:54:03 - [9, 400] loss: 0.47351477056741714
2024-04-26 04:54:08 - [9, 500] loss: 0.4623334676027298
2024-04-26 04:54:13 - [9, 600] loss: 0.439399728178978
2024-04-26 04:54:18 - [9, 700] loss: 0.4154055227339268
2024-04-26 04:54:48 - [10, 100] loss: 0.309989695250988
2024-04-26 04:54:53 - [10, 200] loss: 0.32744709074497225
2024-04-26 04:54:58 - [10, 300] loss: 0.3384749001264572
2024-04-26 04:55:03 - [10, 400] loss: 0.4392676305770874
2024-04-26 04:55:08 - [10, 500] loss: 0.40364244759082796
2024-04-26 04:55:13 - [10, 600] loss: 0.35601465329527854
2024-04-26 04:55:18 - [10, 700] loss: 0.34043651953339576
2024-04-26 04:55:51 - [11, 100] loss: 0.323174154907465
2024-04-26 04:55:56 - [11, 200] loss: 0.27481632336974143
