2024-04-26 23:45:59 - [1, 100] loss: 0.5740884315222502
2024-04-26 23:46:04 - [1, 200] loss: 0.18813770465552807
2024-04-26 23:46:08 - [1, 300] loss: 0.13005194636061787
2024-04-26 23:46:14 - [1, 400] loss: 0.1194858602900058
2024-04-26 23:46:19 - [1, 500] loss: 0.1017823486495763
2024-04-26 23:46:24 - [1, 600] loss: 0.08926146801328287
2024-04-26 23:46:29 - [1, 700] loss: 0.0738380252243951
2024-04-26 23:46:33 - [1, 800] loss: 0.08490074703702703
2024-04-26 23:46:38 - [1, 900] loss: 0.07278691302752122
2024-04-26 23:46:49 - [2, 100] loss: 0.0648274018894881
2024-04-26 23:46:54 - [2, 200] loss: 0.05901680490700528
2024-04-26 23:46:59 - [2, 300] loss: 0.05436236656736582
2024-04-26 23:47:04 - [2, 400] loss: 0.05865430786041543
2024-04-26 23:47:08 - [2, 500] loss: 0.04418592861620709
2024-04-26 23:47:13 - [2, 600] loss: 0.07916696003871039
2024-04-26 23:47:18 - [2, 700] loss: 0.05667652915464714
2024-04-26 23:47:22 - [2, 800] loss: 0.05647681354661472
2024-04-26 23:47:27 - [2, 900] loss: 0.05149935859837569
2024-04-26 23:47:38 - [3, 100] loss: 0.04767895824857987
2024-04-26 23:47:43 - [3, 200] loss: 0.04561970529262908
2024-04-26 23:47:48 - [3, 300] loss: 0.04884859097073786
2024-04-26 23:47:53 - [3, 400] loss: 0.04776120616355911
2024-04-26 23:47:57 - [3, 500] loss: 0.039389033350744285
2024-04-26 23:48:02 - [3, 600] loss: 0.04356815662584267
2024-04-26 23:48:07 - [3, 700] loss: 0.12430986759252846
2024-04-26 23:48:12 - [3, 800] loss: 0.10966089946217834
2024-04-26 23:48:16 - [3, 900] loss: 0.04891544944606721
2024-04-26 23:48:28 - [4, 100] loss: 0.048476957858656536
2024-04-26 23:48:33 - [4, 200] loss: 0.029134505153051576
2024-04-26 23:48:38 - [4, 300] loss: 0.03775149399240035
2024-04-26 23:48:42 - [4, 400] loss: 0.09662296223919839
2024-04-26 23:48:47 - [4, 500] loss: 0.06364640897605568
2024-04-26 23:48:52 - [4, 600] loss: 0.0379580040986184
2024-04-26 23:48:57 - [4, 700] loss: 0.051816894412622785
2024-04-26 23:49:01 - [4, 800] loss: 0.07949389985762537
2024-04-26 23:49:06 - [4, 900] loss: 0.0452907243790105
2024-04-26 23:49:18 - [5, 100] loss: 0.037066170154721474
2024-04-26 23:49:22 - [5, 200] loss: 0.030905549430754034
2024-04-26 23:49:27 - [5, 300] loss: 0.03559835788153578
2024-04-26 23:49:32 - [5, 400] loss: 0.10225846435292624
2024-04-26 23:49:37 - [5, 500] loss: 0.10542379030724987
2024-04-26 23:49:42 - [5, 600] loss: 0.08366928609553724
2024-04-26 23:49:46 - [5, 700] loss: 0.18428562522516587
2024-04-26 23:49:51 - [5, 800] loss: 0.20425301287323236
2024-04-26 23:49:56 - [5, 900] loss: 0.08109146687434986
2024-04-26 23:50:08 - [6, 100] loss: 0.06069620837457478
2024-04-26 23:50:12 - [6, 200] loss: 0.037230111077660694
2024-04-26 23:50:17 - [6, 300] loss: 0.04705466945888474
2024-04-26 23:50:22 - [6, 400] loss: 0.06497955776867456
2024-04-26 23:50:27 - [6, 500] loss: 0.0718663006904535
2024-04-26 23:50:31 - [6, 600] loss: 0.0762636427488178
2024-04-26 23:50:36 - [6, 700] loss: 0.06056098468368873
2024-04-26 23:50:41 - [6, 800] loss: 0.04273229343467392
2024-04-26 23:50:46 - [6, 900] loss: 0.04677993433899246
2024-04-26 23:50:58 - [7, 100] loss: 0.022054165416921023
2024-04-26 23:51:02 - [7, 200] loss: 0.021229482588460087
2024-04-26 23:51:07 - [7, 300] loss: 0.03370663974958006
2024-04-26 23:51:12 - [7, 400] loss: 0.027985047459369524
2024-04-26 23:51:17 - [7, 500] loss: 0.036670269090682266
2024-04-26 23:51:22 - [7, 600] loss: 0.0451675272686407
2024-04-26 23:51:26 - [7, 700] loss: 0.026931485317181796
2024-04-26 23:51:31 - [7, 800] loss: 0.03129776894871611
2024-04-26 23:51:36 - [7, 900] loss: 0.030662725094007328
2024-04-26 23:51:48 - [8, 100] loss: 0.02531594102823874
2024-04-26 23:51:52 - [8, 200] loss: 0.019657716924557464
2024-04-26 23:51:57 - [8, 300] loss: 0.030967608724022284
2024-04-26 23:52:02 - [8, 400] loss: 0.03497201047488488
2024-04-26 23:52:07 - [8, 500] loss: 0.02119330786721548
2024-04-26 23:52:11 - [8, 600] loss: 0.052194012546679006
2024-04-26 23:52:16 - [8, 700] loss: 0.03755386038305005
2024-04-26 23:52:21 - [8, 800] loss: 0.03109970107441768
2024-04-26 23:52:26 - [8, 900] loss: 0.02403552815594594
2024-04-26 23:52:38 - [9, 100] loss: 0.03265110335021745
2024-04-26 23:52:42 - [9, 200] loss: 0.034974901851674074
2024-04-26 23:52:47 - [9, 300] loss: 0.03476515498652589
2024-04-26 23:52:52 - [9, 400] loss: 0.03498675268958323
2024-04-26 23:52:57 - [9, 500] loss: 0.021675629072997252
2024-04-26 23:53:01 - [9, 600] loss: 0.02223773259553127
2024-04-26 23:53:06 - [9, 700] loss: 0.05087726232159184
2024-04-26 23:53:11 - [9, 800] loss: 0.05171788833918981
2024-04-26 23:53:16 - [9, 900] loss: 0.06092451781616546
2024-04-26 23:53:28 - [10, 100] loss: 0.034132953833031936
2024-04-26 23:53:32 - [10, 200] loss: 0.028217811214271932
2024-04-26 23:53:37 - [10, 300] loss: 0.026509154914674583
2024-04-26 23:53:42 - [10, 400] loss: 0.09096556157826853
2024-04-26 23:53:47 - [10, 500] loss: 0.05386909346387256
2024-04-26 23:53:52 - [10, 600] loss: 0.08682460989803076
2024-04-26 23:53:56 - [10, 700] loss: 0.08237529705977067
2024-04-26 23:54:01 - [10, 800] loss: 0.034266622551367615
2024-04-26 23:54:06 - [10, 900] loss: 0.02952992042177357
