2024-04-26 16:05:31 - [1, 100] loss: 4.266325151920318
2024-04-26 16:05:50 - [1, 200] loss: 1.5313153898715972
2024-04-26 16:06:10 - [1, 300] loss: 0.6601090398430824
2024-04-26 16:06:30 - [1, 400] loss: 0.4267029495537281
2024-04-26 16:06:50 - [1, 500] loss: 0.347629065848887
2024-04-26 16:07:11 - [1, 600] loss: 0.340734643638134
2024-04-26 16:07:31 - [1, 700] loss: 0.2501813544332981
2024-04-26 16:07:51 - [1, 800] loss: 0.20890575427561997
2024-04-26 16:08:12 - [1, 900] loss: 0.18177134945988654
2024-04-26 16:08:48 - [2, 100] loss: 0.23723338646814227
2024-04-26 16:09:08 - [2, 200] loss: 0.17942112550139427
2024-04-26 16:09:28 - [2, 300] loss: 0.19146425690501928
2024-04-26 16:09:48 - [2, 400] loss: 0.154520625625737
2024-04-26 16:10:08 - [2, 500] loss: 0.15999315859749913
2024-04-26 16:10:29 - [2, 600] loss: 0.16559317100793122
2024-04-26 16:10:50 - [2, 700] loss: 0.1156655508838594
2024-04-26 16:11:10 - [2, 800] loss: 0.20622623471543192
2024-04-26 16:11:30 - [2, 900] loss: 0.11362529531586915
2024-04-26 16:12:05 - [3, 100] loss: 0.1846570631675422
2024-04-26 16:12:26 - [3, 200] loss: 0.11778694584500045
2024-04-26 16:12:47 - [3, 300] loss: 0.10836347966920584
2024-04-26 16:13:07 - [3, 400] loss: 0.09648627331946046
2024-04-26 16:13:28 - [3, 500] loss: 0.08377986658830196
2024-04-26 16:13:48 - [3, 600] loss: 0.11186689136549831
2024-04-26 16:14:09 - [3, 700] loss: 0.11593095568008721
2024-04-26 16:14:30 - [3, 800] loss: 0.07949922863394022
2024-04-26 16:14:51 - [3, 900] loss: 0.08236739390995354
2024-04-26 16:15:26 - [4, 100] loss: 0.13469954952131957
2024-04-26 16:15:47 - [4, 200] loss: 0.09214052147464827
2024-04-26 16:16:08 - [4, 300] loss: 0.09327346426463919
2024-04-26 16:16:28 - [4, 400] loss: 0.12153115082648583
2024-04-26 16:16:49 - [4, 500] loss: 0.08807803185656667
2024-04-26 16:17:10 - [4, 600] loss: 0.08095954442454968
2024-04-26 16:17:30 - [4, 700] loss: 0.07263914261784521
2024-04-26 16:17:51 - [4, 800] loss: 0.23494915840099564
2024-04-26 16:18:12 - [4, 900] loss: 0.13012305076699704
2024-04-26 16:18:47 - [5, 100] loss: 0.18284195722662844
2024-04-26 16:19:06 - [5, 200] loss: 0.2286283667664975
2024-04-26 16:19:21 - [5, 300] loss: 0.10249805389437824
2024-04-26 16:19:35 - [5, 400] loss: 0.06872428325703367
2024-04-26 16:19:49 - [5, 500] loss: 0.07574621882245992
2024-04-26 16:20:02 - [5, 600] loss: 0.07000167218619026
2024-04-26 16:20:16 - [5, 700] loss: 0.07604365911567584
2024-04-26 16:20:29 - [5, 800] loss: 0.05261514622950927
2024-04-26 16:20:43 - [5, 900] loss: 0.05011930731707252
2024-04-26 16:21:07 - [6, 100] loss: 0.08381016554165399
2024-04-26 16:21:20 - [6, 200] loss: 0.06810155982908327
2024-04-26 16:21:33 - [6, 300] loss: 0.05833750509773381
2024-04-26 16:21:47 - [6, 400] loss: 0.10142456589383073
2024-04-26 16:22:00 - [6, 500] loss: 0.043893080058478515
2024-04-26 16:22:14 - [6, 600] loss: 0.2456129191693617
2024-04-26 16:22:27 - [6, 700] loss: 0.1296090684074443
2024-04-26 16:22:41 - [6, 800] loss: 0.1087626569357235
2024-04-26 16:22:54 - [6, 900] loss: 0.06879679057208704
2024-04-26 16:23:18 - [7, 100] loss: 0.19765981757082046
2024-04-26 16:23:32 - [7, 200] loss: 0.10170521558495238
2024-04-26 16:23:45 - [7, 300] loss: 0.150037130380515
2024-04-26 16:23:59 - [7, 400] loss: 0.05697305671288632
2024-04-26 16:24:12 - [7, 500] loss: 0.07025846228469163
2024-04-26 16:24:26 - [7, 600] loss: 0.05907705531979445
2024-04-26 16:24:39 - [7, 700] loss: 0.05513769236044027
2024-04-26 16:24:53 - [7, 800] loss: 0.05852378151708763
2024-04-26 16:25:06 - [7, 900] loss: 0.056500640097365246
2024-04-26 16:25:30 - [8, 100] loss: 0.05095672661613207
2024-04-26 16:25:44 - [8, 200] loss: 0.0374398495843343
2024-04-26 16:25:57 - [8, 300] loss: 0.03661155851616058
2024-04-26 16:26:11 - [8, 400] loss: 0.03507498311228119
2024-04-26 16:26:24 - [8, 500] loss: 0.04166882876394084
2024-04-26 16:26:37 - [8, 600] loss: 0.044755299983808075
2024-04-26 16:26:51 - [8, 700] loss: 0.045777926534065046
2024-04-26 16:27:04 - [8, 800] loss: 0.04154739190504188
2024-04-26 16:27:18 - [8, 900] loss: 0.1222315772017464
2024-04-26 16:27:42 - [9, 100] loss: 0.057618270388338715
2024-04-26 16:27:55 - [9, 200] loss: 0.04003473855314951
2024-04-26 16:28:09 - [9, 300] loss: 0.4073970091051888
2024-04-26 16:28:22 - [9, 400] loss: 0.3351366760255769
2024-04-26 16:28:36 - [9, 500] loss: 0.0885576422617305
2024-04-26 16:28:49 - [9, 600] loss: 0.3006845770939253
2024-04-26 16:29:03 - [9, 700] loss: 0.0872489409748232
2024-04-26 16:29:16 - [9, 800] loss: 0.06423683190601878
2024-04-26 16:29:30 - [9, 900] loss: 0.050548071708180944
2024-04-26 16:29:53 - [10, 100] loss: 0.09005139636923559
2024-04-26 16:30:07 - [10, 200] loss: 0.05439231573429424
2024-04-26 16:30:20 - [10, 300] loss: 0.04803322902531363
2024-04-26 16:30:34 - [10, 400] loss: 0.06972492570290342
2024-04-26 16:30:47 - [10, 500] loss: 0.1751077739452012
2024-04-26 16:31:01 - [10, 600] loss: 0.06679003500728868
2024-04-26 16:31:14 - [10, 700] loss: 0.04336628956836648
2024-04-26 16:31:28 - [10, 800] loss: 0.04119273795047775
2024-04-26 16:31:41 - [10, 900] loss: 0.03991960583545733
